Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,37,0,0,0,0
3,66,0,0,0,0
4,68,0,0,0,0
5,87,0,0,0,0
6,172,0,0,0,0
7,185,0,0,0,1
8,193,0,0,0,1
9,206,0,0,0,1
10,231,0,0,0,1
11,237,0,0,0,1
12,239,0,0,0,1
13,250,0,0,0,1
14,271,0,0,0,1
15,272,0,0,0,1
16,319,0,0,0,1
17,361,0,0,0,1
18,365,0,0,0,1
19,372,0,0,0,1
20,410,1,0,0,1
21,463,6,0,0,1
22,491,22,0,0,3
23,501,36,0,0,4
24,515,54,0,0,4
25,524,82,0,0,6
26,526,113,0,0,6
27,528,136,0,0,6
28,541,160,0,0,7
29,542,190,0,0,7
30,581,213,0,0,7
31,622,221,0,0,7
32,630,231,0,0,7
33,650,245,0,0,7
34,695,256,0,0,7
35,707,267,0,0,7
36,724,288,0,0,8
37,734,305,0,0,8
38,765,336,0,0,8
39,809,366,0,0,8
40,822,390,0,0,8
41,856,417,0,0,9
42,857,449,0,0,10
43,883,477,0,0,11
44,890,491,0,0,11
45,893,508,0,0,11
46,903,519,0,0,11
47,935,524,0,0,11
48,946,535,0,0,11
49,964,542,0,0,12
50,973,555,0,0,13
51,994,573,0,0,14
52,1005,605,0,0,15
53,1018,627,0,0,16
54,1087,652,0,0,17
55,1088,676,0,0,17
56,1128,701,0,0,17
57,1134,722,0,0,18
58,1166,746,0,0,18
59,1192,771,0,0,19
60,1203,771,0,0,19
