day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456942	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	41	0	0	0	0	[]	0	0
1	123456942	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	86	41	0	0	0	0	[]	0	0
2	123456942	248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	86	41	0	0	0	1	[]	0	0
3	123456942	248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	41	0	0	0	1	[]	0	0
4	123456942	248	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	86	41	0	0	0	1	[]	0	0
5	123456942	247	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	41	0	0	0	2	[]	0	0
6	123456942	247	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	41	0	0	0	2	[]	0	0
7	123456942	247	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	86	41	0	0	0	2	[]	0	0
8	123456942	247	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	86	41	0	0	0	2	[]	0	0
9	123456942	247	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	86	41	0	0	0	2	[]	0	0
10	123456942	247	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	41	0	0	0	2	[]	0	0
11	123456942	246	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	86	41	0	0	0	3	[]	0	0
12	123456942	246	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	86	41	0	0	0	3	[]	0	0
13	123456942	246	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	86	41	0	0	0	3	[]	0	0
14	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	86	41	0	0	0	4	[]	0	0
15	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	86	41	0	0	0	4	[]	0	0
16	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	86	41	0	0	0	4	[]	0	0
17	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	86	41	0	0	0	4	[]	0	0
18	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	86	41	0	0	0	4	[]	0	0
19	123456942	245	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	86	41	0	0	0	4	[]	0	0
20	123456942	244	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	86	41	0	0	0	5	[]	0	0
21	123456942	244	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	86	41	0	0	0	5	[]	0	1
22	123456942	239	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	86	41	0	0	0	5	[]	0	2
23	123456942	231	11	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	86	41	0	0	0	6	[]	0	2
24	123456942	221	15	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	86	41	0	0	0	8	[]	0	3
25	123456942	214	15	10	9	0	0	0	0	0	0	0	0	0	0	1	0	0	59	1	0	0	1	86	41	0	0	0	8	[]	0	2
26	123456942	207	18	10	13	0	0	0	0	0	0	0	0	0	0	1	0	0	61	1	0	0	1	86	41	0	0	0	8	[]	0	2
27	123456942	207	14	13	14	0	0	0	0	0	0	0	0	0	0	1	0	0	64	1	0	0	1	86	41	0	0	0	8	[]	0	3
28	123456942	207	11	14	16	0	0	0	0	0	0	0	0	0	0	1	0	0	65	1	0	0	1	86	41	0	0	0	8	[]	0	3
29	123456942	196	16	19	16	0	0	0	0	0	0	0	0	0	0	1	1	0	68	2	0	0	2	86	41	0	0	0	9	[]	0	3
30	123456942	184	21	22	19	0	0	0	0	0	0	0	0	0	0	2	1	0	68	3	0	0	3	86	41	0	0	0	9	[]	0	3
31	123456942	174	22	27	22	0	0	0	0	0	0	0	0	0	0	3	1	0	68	4	0	0	4	86	41	0	0	0	10	[]	0	6
32	123456942	152	37	33	22	0	0	0	0	0	0	0	0	0	0	4	1	0	68	5	0	0	5	86	41	0	0	0	11	[]	0	8
33	123456942	131	43	42	27	0	0	0	0	0	0	0	0	0	0	5	1	0	73	6	0	0	6	86	41	0	0	0	11	[]	0	8
34	123456942	131	31	44	37	0	0	0	0	0	0	0	0	0	0	4	2	0	76	6	0	0	6	86	41	0	0	0	11	[]	0	8
35	123456942	131	21	47	45	0	0	0	0	0	0	0	0	0	0	3	2	0	78	6	0	0	6	86	41	0	0	0	11	[]	0	8
36	123456942	95	42	55	51	0	0	0	0	0	0	0	0	0	0	4	2	0	78	7	0	0	7	86	41	0	0	0	11	[]	0	10
37	123456942	72	50	63	57	0	0	0	0	0	0	0	0	0	0	5	2	0	78	8	0	0	8	86	41	0	0	0	11	[]	0	11
38	123456942	50	54	72	64	0	0	0	0	0	0	1	0	0	0	6	2	0	81	9	0	1	9	86	41	0	0	0	11	[]	0	11
39	123456942	38	48	80	71	0	0	0	0	0	0	1	0	0	0	7	4	0	81	13	0	1	13	86	41	0	0	0	11	[]	0	12
40	123456942	25	48	80	80	0	0	0	0	0	0	1	1	0	0	10	4	0	82	17	0	2	17	86	41	0	0	0	11	[]	0	12
41	123456942	25	36	78	90	0	0	0	0	0	0	1	1	0	0	14	4	0	84	22	0	2	22	86	41	0	0	0	11	[]	0	12
42	123456942	25	26	75	101	0	0	0	0	0	0	2	2	0	0	13	5	0	87	23	0	4	23	86	41	0	0	0	11	[]	0	12
43	123456942	15	29	68	112	0	0	0	0	0	0	3	2	0	0	16	4	0	91	26	0	5	26	86	41	0	0	0	11	[]	0	12
44	123456942	10	27	65	121	0	0	0	0	0	0	1	4	0	0	16	5	0	92	27	0	5	27	86	41	0	0	0	11	[]	0	11
45	123456942	9	20	58	132	0	0	0	0	0	0	1	4	0	0	18	7	0	94	31	0	5	31	86	41	0	0	0	11	[]	0	11
46	123456942	7	19	49	143	0	0	0	0	0	0	0	5	0	0	18	8	0	96	33	0	5	33	86	41	0	0	0	11	[]	0	11
47	123456942	7	11	47	153	0	0	0	0	0	0	1	5	0	0	17	8	0	98	33	0	6	33	86	41	0	0	0	11	[]	0	10
48	123456942	7	10	45	155	0	0	0	0	0	0	3	4	0	0	14	11	0	103	34	0	8	34	86	41	0	0	0	11	[]	0	10
49	123456942	7	8	42	162	0	0	0	0	0	0	2	5	0	0	11	12	0	104	36	0	8	36	86	41	0	0	0	11	[]	0	10
50	123456942	6	6	40	172	0	0	0	0	0	0	2	4	0	0	6	13	0	106	36	0	8	36	86	41	0	0	0	11	[]	0	9
51	123456942	6	5	38	179	0	0	0	0	0	0	1	5	0	0	5	10	0	108	37	0	8	37	86	41	0	0	0	11	[]	0	9
52	123456942	6	5	29	189	0	0	0	0	0	0	2	3	0	0	6	9	0	110	38	0	9	38	86	41	0	0	0	11	[]	0	9
53	123456942	6	4	29	194	0	0	0	0	0	0	2	2	0	0	4	8	0	111	38	0	9	38	86	41	0	0	0	11	[]	0	9
54	123456942	6	4	25	199	0	0	0	0	0	0	2	2	0	0	4	7	0	113	38	0	9	38	86	41	0	0	0	11	[]	0	9
55	123456942	6	3	26	203	0	0	0	0	0	0	2	2	0	0	3	4	0	117	38	0	9	38	86	41	0	0	0	11	[]	0	9
56	123456942	6	3	19	211	0	0	0	0	0	0	2	2	0	0	4	2	0	118	39	0	9	39	86	41	0	0	0	11	[]	0	9
57	123456942	6	2	16	214	0	0	0	0	0	0	1	2	0	0	5	3	0	119	41	0	9	41	86	41	0	0	0	11	[]	0	9
58	123456942	6	1	13	220	0	0	0	0	0	0	1	0	0	0	4	4	0	119	42	0	9	42	86	41	0	0	0	11	[]	0	8
59	123456942	6	0	14	222	0	0	0	0	0	0	1	0	0	0	1	5	0	123	42	0	9	42	86	41	0	0	0	11	[]	0	7
60	123456942	6	0	13	223	0	0	0	0	0	0	1	0	0	0	0	6	0	123	42	0	9	42	86	41	0	0	0	11	[]	0	7
