day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	42	0	0	0	0	[]	0	0
1	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	86	42	0	0	0	0	[]	0	0
2	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	86	42	0	0	0	0	[]	0	0
3	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	42	0	0	0	0	[]	0	0
4	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	86	42	0	0	0	0	[]	0	0
5	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	86	42	0	0	0	0	[]	0	0
6	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	86	42	0	0	0	0	[]	0	0
7	123456954	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	86	42	0	0	0	0	[]	0	0
8	123456954	247	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	42	0	0	0	1	[]	0	1
9	123456954	246	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	86	42	0	0	0	1	[]	0	1
10	123456954	245	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	30	1	0	0	1	86	42	0	0	0	1	[]	0	1
11	123456954	245	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	32	1	0	0	1	86	42	0	0	0	1	[]	0	1
12	123456954	245	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	1	0	0	1	86	42	0	0	0	1	[]	0	1
13	123456954	245	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36	1	0	0	1	86	42	0	0	0	1	[]	0	1
14	123456954	245	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	1	0	0	1	86	42	0	0	0	1	[]	0	1
15	123456954	238	6	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	38	1	0	0	1	86	42	0	0	0	1	[]	0	1
16	123456954	232	8	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	39	1	0	0	1	86	42	0	0	0	1	[]	0	1
17	123456954	229	8	6	4	0	0	0	0	0	0	0	0	0	0	1	0	0	40	1	0	0	1	86	42	0	0	0	1	[]	0	1
18	123456954	224	9	8	6	0	0	0	0	0	0	0	0	0	0	0	1	0	41	1	0	0	1	86	42	0	0	0	1	[]	0	1
19	123456954	214	18	9	6	0	0	0	0	0	0	0	0	0	0	0	1	0	43	1	0	0	1	86	42	0	0	0	1	[]	0	1
20	123456954	214	14	12	7	0	0	0	0	0	0	0	0	0	0	1	0	0	46	2	0	0	2	86	42	0	0	0	1	[]	0	2
21	123456954	213	10	14	10	0	0	0	0	0	0	0	0	0	0	1	0	0	46	2	0	0	2	86	42	0	0	0	2	[]	0	4
22	123456954	192	26	16	12	0	0	0	0	0	0	0	0	0	0	2	0	0	49	3	0	0	3	86	42	0	0	0	2	[]	0	5
23	123456954	171	38	24	12	0	0	0	0	0	0	0	0	0	0	2	1	0	49	4	0	0	4	86	42	0	0	0	3	[]	0	7
24	123456954	150	46	34	15	0	0	0	0	0	0	0	0	0	0	1	2	0	49	4	0	0	4	86	42	0	0	0	3	[]	0	7
25	123456954	123	53	48	19	0	0	0	0	0	0	0	0	0	0	3	2	0	49	6	0	0	6	86	42	0	0	0	3	[]	0	8
26	123456954	100	55	61	26	0	0	0	0	0	0	0	0	0	0	4	2	0	49	7	0	0	7	86	42	0	0	0	3	[]	0	9
27	123456954	100	34	74	28	0	0	0	0	0	0	1	0	0	0	9	2	0	51	12	0	1	12	86	42	0	0	0	3	[]	0	10
28	123456954	100	19	76	38	0	0	0	0	0	0	1	0	0	0	12	2	0	52	15	0	1	15	86	42	0	0	0	3	[]	0	11
29	123456954	69	37	69	54	0	0	0	0	0	0	1	0	0	0	13	5	0	55	19	0	1	19	86	42	0	0	0	3	[]	0	11
30	123456954	51	39	75	63	0	0	0	0	0	0	1	0	0	0	12	7	0	56	21	0	1	21	86	42	0	0	0	3	[]	0	11
31	123456954	39	43	70	75	0	0	0	0	0	0	1	0	0	0	12	8	0	57	22	0	1	22	86	42	0	0	0	3	[]	0	11
32	123456954	31	35	72	88	0	0	0	0	0	0	2	0	0	0	13	7	0	60	23	0	2	23	86	42	0	0	0	3	[]	0	11
33	123456954	25	27	78	96	0	0	0	0	0	0	1	1	0	0	11	9	0	62	24	0	2	24	86	42	0	0	0	3	[]	0	12
34	123456954	25	23	71	103	0	0	0	0	0	0	2	1	0	0	12	11	0	65	27	0	3	27	86	42	0	0	0	3	[]	0	12
35	123456954	25	13	62	118	0	0	0	0	0	0	2	1	0	0	14	13	0	67	33	0	3	33	86	42	0	0	0	3	[]	0	12
36	123456954	18	14	56	128	0	0	0	0	0	0	3	1	0	0	12	16	0	70	35	0	4	35	86	42	0	0	0	3	[]	0	12
37	123456954	10	15	59	138	0	0	0	0	0	0	2	1	0	0	9	14	0	73	35	0	4	35	86	42	0	0	0	3	[]	0	12
38	123456954	8	14	50	150	0	0	0	0	0	0	4	2	0	0	8	12	0	77	35	0	7	35	86	42	0	0	0	3	[]	0	12
39	123456954	5	12	49	160	0	0	0	0	0	0	4	2	0	0	6	10	0	79	35	0	7	35	86	42	0	0	0	3	[]	0	12
40	123456954	4	10	42	169	0	0	0	0	0	0	2	4	0	0	9	8	0	81	38	0	7	38	86	42	0	0	0	3	[]	0	12
41	123456954	4	8	38	175	0	0	0	0	0	0	1	5	0	0	10	7	0	83	39	0	7	39	86	42	0	0	0	3	[]	0	12
