day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456959	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	39	0	0	0	0	[]	0	0
1	123456959	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	39	0	0	0	1	[]	0	0
2	123456959	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	86	39	0	0	0	1	[]	0	0
3	123456959	249	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	86	39	0	0	0	2	[]	0	0
4	123456959	249	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	86	39	0	0	0	2	[]	0	1
5	123456959	243	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	1	0	0	1	86	39	0	0	0	2	[]	0	1
6	123456959	243	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	1	0	0	1	86	39	0	0	0	2	[]	0	1
7	123456959	243	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	1	0	0	1	86	39	0	0	0	2	[]	0	1
8	123456959	233	9	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	1	0	0	1	86	39	0	0	0	2	[]	0	2
9	123456959	229	10	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	28	1	0	0	1	86	39	0	0	0	2	[]	0	3
10	123456959	214	22	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	32	1	0	0	1	86	39	0	0	0	2	[]	0	3
11	123456959	205	19	22	3	0	0	0	0	0	0	0	0	0	0	1	1	0	37	2	0	0	2	86	39	0	0	0	2	[]	0	4
12	123456959	193	18	31	5	0	0	0	0	0	0	0	0	0	0	3	1	0	38	4	0	0	4	86	39	0	0	0	2	[]	0	4
13	123456959	193	13	33	7	0	0	0	0	0	0	0	0	0	0	4	1	0	41	5	0	0	5	86	39	0	0	0	2	[]	0	4
14	123456959	193	8	32	13	0	0	0	0	0	0	0	0	0	0	1	4	0	43	5	0	0	5	86	39	0	0	0	2	[]	0	4
15	123456959	170	25	37	15	0	0	0	0	0	0	0	0	0	0	1	3	0	46	5	0	0	5	86	39	0	0	0	2	[]	0	6
16	123456959	154	29	41	21	0	0	0	0	0	0	0	0	0	0	3	3	0	47	7	0	0	7	86	39	0	0	0	2	[]	0	6
17	123456959	131	43	48	22	0	0	0	0	0	0	1	0	0	0	2	4	0	51	7	0	1	7	86	39	0	0	0	2	[]	0	7
18	123456959	118	43	47	34	0	0	0	0	0	0	2	0	0	0	2	5	0	54	8	0	2	8	86	39	0	0	0	2	[]	0	8
19	123456959	86	62	46	46	0	0	0	0	0	0	2	0	0	0	4	5	0	57	10	0	2	10	86	39	0	0	0	2	[]	0	10
20	123456959	86	45	54	54	0	0	0	0	0	0	1	1	0	0	4	6	0	57	11	0	2	11	86	39	0	0	0	2	[]	0	12
21	123456959	86	34	52	65	0	0	0	0	0	0	1	1	0	0	7	5	0	61	14	0	2	14	86	39	0	0	0	2	[]	0	12
22	123456959	66	39	56	77	0	0	0	0	0	0	1	1	0	0	5	6	0	62	15	0	2	15	86	39	0	0	0	2	[]	0	12
23	123456959	43	43	63	87	0	0	0	0	0	0	2	1	0	0	7	5	0	64	17	0	3	17	86	39	0	0	0	2	[]	0	12
24	123456959	30	46	62	97	0	0	0	0	0	0	1	2	0	0	7	6	0	65	18	0	3	18	86	39	0	0	0	2	[]	0	12
25	123456959	19	44	66	103	0	0	0	0	0	0	2	2	0	0	9	6	0	67	20	0	4	20	86	39	0	0	0	2	[]	0	12
26	123456959	18	33	65	113	0	0	0	0	0	0	4	2	0	0	10	6	0	70	23	0	6	23	86	39	0	0	0	2	[]	0	11
27	123456959	18	19	73	119	0	0	0	0	0	0	3	2	0	0	9	8	0	70	24	0	6	24	86	39	0	0	0	2	[]	0	12
28	123456959	18	15	67	129	0	0	0	0	0	0	3	1	0	0	10	8	0	71	26	0	6	26	86	39	0	0	0	2	[]	0	11
29	123456959	14	17	63	136	0	0	0	0	0	0	3	1	0	0	8	9	0	76	27	0	6	27	86	39	0	0	0	2	[]	0	10
30	123456959	10	13	58	150	0	0	0	0	0	0	3	1	0	0	6	10	0	76	27	0	6	27	86	39	0	0	0	2	[]	0	10
31	123456959	7	9	57	158	0	0	0	0	0	0	3	1	0	0	6	10	0	77	30	0	6	30	86	39	0	0	0	2	[]	0	10
32	123456959	4	12	46	168	0	0	0	0	0	0	3	1	0	0	6	11	0	80	32	0	6	32	86	39	0	0	0	2	[]	0	10
33	123456959	3	12	35	178	0	0	0	0	0	0	2	2	0	0	8	11	0	84	36	0	7	36	86	39	0	0	0	2	[]	0	10
34	123456959	3	10	30	185	0	0	0	0	0	0	3	2	0	0	6	12	0	86	36	0	8	36	86	39	0	0	0	2	[]	0	10
35	123456959	3	5	33	189	0	0	0	0	0	0	2	2	0	0	7	10	0	87	37	0	8	37	86	39	0	0	0	2	[]	0	10
36	123456959	2	4	28	199	0	0	0	0	0	0	1	2	0	0	6	9	0	90	38	0	9	38	86	39	0	0	0	2	[]	0	10
37	123456959	2	3	26	203	0	0	0	0	0	0	1	2	0	0	3	11	0	91	38	0	9	38	86	39	0	0	0	2	[]	0	10
38	123456959	2	3	18	211	0	0	0	0	0	0	1	2	0	0	5	9	0	96	40	0	9	40	86	39	0	0	0	2	[]	0	10
