day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456918	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	51	0	0	0	0	[]	0	0
1	123456918	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	51	0	0	0	0	[]	0	0
2	123456918	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	86	51	0	0	0	0	[]	0	0
3	123456918	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	86	51	0	0	0	0	[]	0	0
4	123456918	238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	86	51	0	0	0	1	[]	0	0
5	123456918	238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	51	0	0	0	1	[]	0	0
6	123456918	237	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	86	51	0	0	0	2	[]	0	1
7	123456918	237	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	51	0	0	0	2	[]	0	1
8	123456918	234	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	86	51	0	0	0	2	[]	0	1
9	123456918	226	7	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	86	51	0	0	0	3	[]	0	2
10	123456918	221	11	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	51	0	0	0	3	[]	0	1
11	123456918	218	10	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	51	0	0	0	3	[]	0	1
12	123456918	215	10	7	6	0	0	0	0	0	0	0	0	0	0	1	0	0	27	1	0	0	1	86	51	0	0	0	4	[]	0	1
13	123456918	215	6	8	8	0	0	0	0	0	0	0	0	0	0	2	0	0	35	2	0	0	2	86	51	0	0	0	4	[]	0	3
14	123456918	215	3	10	8	0	0	0	0	0	0	0	0	0	0	3	0	0	39	3	0	0	3	86	51	0	0	0	4	[]	0	3
15	123456918	207	11	9	9	0	0	0	0	0	0	0	0	0	0	3	0	0	39	3	0	0	3	86	51	0	0	0	4	[]	0	3
16	123456918	206	8	11	11	0	0	0	0	0	0	0	0	0	0	3	0	0	40	3	0	0	3	86	51	0	0	0	4	[]	0	4
17	123456918	197	14	11	14	0	0	0	0	0	0	0	0	0	0	3	0	0	41	3	0	0	3	86	51	0	0	0	4	[]	0	4
18	123456918	184	23	13	16	0	0	0	0	0	0	0	0	0	0	3	0	0	45	3	0	0	3	86	51	0	0	0	4	[]	0	4
19	123456918	177	20	21	18	0	0	0	0	0	0	0	0	0	0	3	0	0	48	3	0	0	3	86	51	0	0	0	4	[]	0	4
20	123456918	177	16	20	23	0	0	0	0	0	0	0	0	0	0	3	0	0	48	3	0	0	3	86	51	0	0	0	4	[]	0	4
21	123456918	177	11	24	24	0	0	0	0	0	0	0	0	0	0	2	1	0	50	3	0	0	3	86	51	0	0	0	4	[]	0	4
22	123456918	163	20	22	30	0	0	0	0	0	0	0	0	0	0	4	0	0	53	5	0	0	5	86	51	0	0	0	4	[]	0	4
23	123456918	156	22	20	36	0	0	0	0	0	0	1	0	0	0	4	0	0	58	6	0	1	6	86	51	0	0	0	5	[]	0	4
24	123456918	151	24	21	39	0	0	0	0	0	0	1	0	0	0	3	0	0	60	6	0	1	6	86	51	0	0	0	5	[]	0	4
