day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	52	0	0	0	0	[]	0	0
1	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	52	0	0	0	0	[]	0	0
2	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	52	0	0	0	0	[]	0	0
3	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	86	52	0	0	0	0	[]	0	0
4	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	52	0	0	0	0	[]	0	0
5	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	52	0	0	0	0	[]	0	0
6	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	52	0	0	0	0	[]	0	0
7	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	86	52	0	0	0	0	[]	0	0
8	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	86	52	0	0	0	0	[]	0	0
9	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	86	52	0	0	0	0	[]	0	0
10	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	52	0	0	0	0	[]	0	0
11	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	86	52	0	0	0	0	[]	0	0
12	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	86	52	0	0	0	0	[]	0	0
13	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	86	52	0	0	0	0	[]	0	0
14	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	86	52	0	0	0	0	[]	0	0
15	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	86	52	0	0	0	0	[]	0	0
16	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	86	52	0	0	0	0	[]	0	0
17	123456831	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	86	52	0	0	0	0	[]	0	0
18	123456831	237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	86	52	0	0	0	1	[]	0	0
19	123456831	237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	86	52	0	0	0	1	[]	0	0
20	123456831	237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	86	52	0	0	0	1	[]	0	0
21	123456831	237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	86	52	0	0	0	1	[]	0	0
22	123456831	237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	86	52	0	0	0	1	[]	0	0
23	123456831	236	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	86	52	0	0	0	2	[]	0	1
24	123456831	235	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	86	52	0	0	0	2	[]	0	1
25	123456831	232	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	86	52	0	0	0	2	[]	0	1
26	123456831	230	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	86	52	0	0	0	2	[]	0	2
27	123456831	228	5	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	65	1	0	0	1	86	52	0	0	0	4	[]	0	1
28	123456831	227	5	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	66	1	0	0	1	86	52	0	0	0	5	[]	0	1
29	123456831	223	6	4	3	0	0	0	0	0	0	0	0	0	0	2	0	0	66	2	0	0	2	86	52	0	0	0	5	[]	0	2
30	123456831	221	5	7	3	0	0	0	0	0	0	0	0	0	0	1	1	0	69	2	0	0	2	86	52	0	0	0	5	[]	0	2
31	123456831	216	8	9	3	0	0	0	0	0	0	0	0	0	0	1	1	0	74	2	0	0	2	86	52	0	0	0	5	[]	0	2
32	123456831	214	7	10	5	0	0	0	0	0	0	0	0	0	0	0	2	0	75	2	0	0	2	86	52	0	0	0	5	[]	0	2
33	123456831	201	19	10	6	0	0	0	0	0	0	0	0	0	0	0	2	0	77	2	0	0	2	86	52	0	0	0	5	[]	0	2
34	123456831	200	16	14	6	0	0	0	0	0	0	0	0	0	0	0	2	0	78	2	0	0	2	86	52	0	0	0	6	[]	0	4
35	123456831	200	12	16	8	0	0	0	0	0	0	0	0	0	0	0	2	0	79	2	0	0	2	86	52	0	0	0	6	[]	0	4
36	123456831	184	27	14	10	0	0	0	0	0	0	0	0	0	0	1	2	0	81	3	0	0	3	86	52	0	0	0	6	[]	0	4
37	123456831	176	26	21	12	0	0	0	0	0	0	0	0	0	0	2	1	0	84	4	0	0	4	86	52	0	0	0	6	[]	0	5
38	123456831	162	29	29	14	0	0	0	0	0	0	0	0	0	0	2	2	0	87	5	0	0	5	86	52	0	0	0	6	[]	0	6
39	123456831	140	41	29	23	0	0	0	0	0	0	1	0	0	0	3	1	0	89	6	0	1	6	86	52	0	0	0	6	[]	0	7
40	123456831	119	45	41	27	0	0	0	0	0	0	1	0	0	0	4	1	0	92	7	0	1	7	86	52	0	0	0	6	[]	0	9
41	123456831	119	38	42	32	0	0	0	0	0	0	1	0	0	0	5	1	0	95	8	0	1	8	86	52	0	0	0	6	[]	0	9
42	123456831	119	32	39	40	0	0	0	0	0	0	1	0	0	0	5	2	0	96	9	0	1	9	86	52	0	0	0	6	[]	0	9
43	123456831	96	45	42	45	0	0	0	0	0	0	1	0	0	0	6	3	0	98	11	0	1	11	86	52	0	0	0	6	[]	0	10
44	123456831	68	55	48	55	0	0	0	0	0	0	2	0	0	0	6	4	0	100	12	0	2	12	86	52	0	0	0	6	[]	0	11
45	123456831	47	57	52	69	0	0	0	0	0	0	2	0	0	0	6	5	0	102	13	0	2	13	86	52	0	0	0	6	[]	0	12
46	123456831	29	53	64	77	0	0	0	0	0	0	2	0	0	0	9	4	0	102	16	0	2	16	86	52	0	0	0	6	[]	0	12
47	123456831	17	49	66	89	0	0	0	0	0	0	1	1	0	0	10	5	0	103	19	0	2	19	86	52	0	0	0	6	[]	0	12
48	123456831	17	35	68	99	0	0	0	0	0	0	3	1	0	0	10	5	0	107	20	0	4	20	86	52	0	0	0	6	[]	0	12
49	123456831	17	29	59	113	0	0	0	0	0	0	3	1	0	0	10	6	0	110	22	0	5	22	86	52	0	0	0	6	[]	0	12
