day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456826	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	38	0	0	0	0	[]	0	0
1	123456826	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	38	0	0	0	0	[]	0	0
2	123456826	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	38	0	0	0	0	[]	0	0
3	123456826	250	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	38	0	0	0	2	[]	0	0
4	123456826	250	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	86	38	0	0	0	2	[]	0	1
5	123456826	245	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	86	38	0	0	0	3	[]	0	0
6	123456826	245	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	38	0	0	0	3	[]	0	2
7	123456826	245	3	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	1	86	38	0	0	0	3	[]	0	3
8	123456826	239	7	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	17	1	0	0	1	86	38	0	0	0	4	[]	0	3
9	123456826	232	12	4	3	0	0	0	0	0	0	0	0	0	0	1	0	0	24	1	0	0	1	86	38	0	0	0	4	[]	0	4
10	123456826	223	18	6	3	0	0	0	0	0	0	0	0	0	0	2	0	0	25	2	0	0	2	86	38	0	0	0	5	[]	0	4
11	123456826	205	27	14	4	0	0	0	0	0	0	0	0	0	0	2	0	0	28	2	0	0	2	86	38	0	0	0	6	[]	0	6
12	123456826	187	38	15	10	0	0	0	0	0	0	0	0	0	0	2	0	0	30	2	0	0	2	86	38	0	0	0	7	[]	0	6
13	123456826	187	27	21	13	0	0	0	0	0	0	0	0	0	0	4	0	0	32	4	0	0	4	86	38	0	0	0	7	[]	0	8
14	123456826	186	22	20	19	0	0	0	0	0	0	0	0	0	0	5	0	0	37	5	0	0	5	86	38	0	0	0	8	[]	0	7
15	123456826	159	33	35	20	0	0	0	0	0	0	0	0	0	0	3	2	0	39	5	0	0	5	86	38	0	0	0	8	[]	0	7
16	123456826	133	45	47	22	0	0	0	0	0	0	0	0	0	0	3	2	0	39	5	0	0	5	86	38	0	0	0	8	[]	0	8
17	123456826	102	56	58	30	0	0	0	0	0	0	0	0	0	0	4	2	0	39	7	0	0	7	86	38	0	0	0	8	[]	0	11
18	123456826	71	76	62	37	0	0	0	0	0	0	0	0	0	0	2	4	0	42	7	0	0	7	86	38	0	0	0	8	[]	0	12
19	123456826	51	72	72	46	0	0	0	0	0	0	1	0	0	0	6	4	0	46	11	0	1	11	86	38	0	0	0	8	[]	0	12
20	123456826	51	50	76	61	0	0	0	0	0	0	2	1	0	0	7	4	0	49	13	0	3	13	86	38	0	0	0	8	[]	0	12
21	123456826	51	36	76	74	0	0	0	0	0	0	2	1	0	0	8	4	0	50	14	0	3	14	86	38	0	0	0	8	[]	0	12
22	123456826	33	35	77	89	0	0	0	0	0	0	2	1	0	0	9	6	0	51	17	0	3	17	86	38	0	0	0	8	[]	0	12
23	123456826	26	33	73	99	0	0	0	0	0	0	2	1	0	0	12	6	0	53	22	0	3	22	86	38	0	0	0	8	[]	0	11
24	123456826	24	30	62	114	0	0	0	0	0	0	2	1	0	0	13	6	0	57	24	0	3	24	86	38	0	0	0	8	[]	0	11
25	123456826	20	21	60	126	0	0	0	0	0	0	3	2	0	0	12	8	0	63	25	0	5	25	86	38	0	0	0	8	[]	0	11
26	123456826	20	17	55	133	0	0	0	0	0	0	3	2	0	0	13	9	0	64	27	0	5	27	86	38	0	0	0	8	[]	0	12
27	123456826	20	14	51	141	0	0	0	0	0	0	2	3	0	0	12	9	0	65	28	0	5	28	86	38	0	0	0	8	[]	0	12
28	123456826	20	14	40	149	0	0	0	0	0	0	2	3	0	0	15	9	0	66	31	0	5	31	86	38	0	0	0	8	[]	0	12
29	123456826	17	9	36	164	0	0	0	0	0	0	3	2	0	0	15	6	0	68	32	0	6	32	86	38	0	0	0	8	[]	0	12
30	123456826	9	12	38	170	0	0	0	0	0	0	2	1	0	0	10	10	0	68	33	0	6	33	86	38	0	0	0	8	[]	0	11
31	123456826	6	11	33	179	0	0	0	0	0	0	2	1	0	0	10	10	0	69	34	0	6	34	86	38	0	0	0	8	[]	0	10
32	123456826	4	7	32	188	0	0	0	0	0	0	2	1	0	0	8	10	0	72	35	0	6	35	86	38	0	0	0	8	[]	0	10
33	123456826	4	5	28	199	0	0	0	0	0	0	1	2	0	0	7	6	0	74	35	0	6	35	86	38	0	0	0	8	[]	0	10
34	123456826	4	3	26	204	0	0	0	0	0	0	1	2	0	0	6	6	0	76	36	0	6	36	86	38	0	0	0	8	[]	0	9
35	123456826	4	2	25	209	0	0	0	0	0	0	1	0	0	0	4	7	0	77	36	0	6	36	86	38	0	0	0	8	[]	0	8
36	123456826	3	2	25	212	0	0	0	0	0	0	1	0	0	0	2	7	0	80	36	0	6	36	86	38	0	0	0	8	[]	0	7
37	123456826	3	1	21	218	0	0	0	0	0	0	1	0	0	0	2	6	0	81	36	0	6	36	86	38	0	0	0	8	[]	0	7
38	123456826	3	1	19	223	0	0	0	0	0	0	0	1	0	0	1	4	0	82	36	0	6	36	86	38	0	0	0	8	[]	0	6
39	123456826	3	1	14	229	0	0	0	0	0	0	0	0	0	0	1	4	0	82	37	0	6	37	86	38	0	0	0	8	[]	0	5
40	123456826	3	0	13	232	0	0	0	0	0	0	0	0	0	0	1	3	0	83	37	0	6	37	86	38	0	0	0	8	[]	0	5
41	123456826	3	0	11	235	0	0	0	0	0	0	0	0	0	0	1	2	0	86	37	0	6	37	86	38	0	0	0	8	[]	0	4
42	123456826	3	0	10	237	0	0	0	0	0	0	0	0	0	0	1	1	0	88	37	0	6	37	86	38	0	0	0	8	[]	0	4
43	123456826	2	1	6	240	0	0	0	0	0	0	0	0	0	0	2	1	0	92	38	0	6	38	86	38	0	0	0	8	[]	0	4
44	123456826	2	1	5	242	0	0	0	0	0	0	0	0	0	0	2	0	0	93	38	0	6	38	86	38	0	0	0	8	[]	0	4
45	123456826	2	1	5	242	0	0	0	0	0	0	0	0	0	0	2	0	0	94	38	0	6	38	86	38	0	0	0	8	[]	0	4
46	123456826	1	2	4	243	0	0	0	0	0	0	0	0	0	0	1	1	0	96	38	0	6	38	86	38	0	0	0	8	[]	0	3
47	123456826	1	1	5	243	0	0	0	0	0	0	0	0	0	0	1	1	0	97	38	0	6	38	86	38	0	0	0	8	[]	0	3
48	123456826	1	0	6	243	0	0	0	0	0	0	0	0	0	0	1	1	0	99	38	0	6	38	86	38	0	0	0	8	[]	0	3
49	123456826	1	0	5	245	0	0	0	0	0	0	0	0	0	0	0	1	0	100	38	0	6	38	86	38	0	0	0	8	[]	0	2
50	123456826	1	0	4	246	0	0	0	0	0	0	0	0	0	0	0	1	0	105	38	0	6	38	86	38	0	0	0	8	[]	0	1
51	123456826	1	0	3	247	0	0	0	0	0	0	0	0	0	0	0	1	0	107	38	0	6	38	86	38	0	0	0	8	[]	0	0
52	123456826	1	0	3	247	0	0	0	0	0	0	0	0	0	0	0	1	0	109	38	0	6	38	86	38	0	0	0	8	[]	0	0
53	123456826	1	0	3	248	0	0	0	0	0	0	0	0	0	0	0	0	0	109	38	0	6	38	86	38	0	0	0	8	[]	0	0
54	123456826	1	0	3	248	0	0	0	0	0	0	0	0	0	0	0	0	0	112	38	0	6	38	86	38	0	0	0	8	[]	0	0
55	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	1	0	0	112	39	0	6	39	86	38	0	0	0	8	[]	0	0
56	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	1	0	0	114	39	0	6	39	86	38	0	0	0	8	[]	0	0
57	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	0	1	0	117	39	0	6	39	86	38	0	0	0	8	[]	0	0
58	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	0	1	0	119	39	0	6	39	86	38	0	0	0	8	[]	0	0
59	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	0	1	0	121	39	0	6	39	86	38	0	0	0	8	[]	0	0
60	123456826	1	0	1	249	0	0	0	0	0	0	0	0	0	0	0	1	0	123	39	0	6	39	86	38	0	0	0	8	[]	0	0
