day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456883	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	43	0	0	0	0	[]	0	0
1	123456883	246	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	43	0	0	0	1	[]	0	1
2	123456883	244	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	86	43	0	0	0	1	[]	0	1
3	123456883	242	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	43	0	0	0	2	[]	0	1
4	123456883	241	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	43	0	0	0	2	[]	0	1
5	123456883	239	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	86	43	0	0	0	2	[]	0	1
6	123456883	239	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	86	43	0	0	0	2	[]	0	1
7	123456883	239	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	86	43	0	0	0	2	[]	0	1
8	123456883	225	16	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	86	43	0	0	0	2	[]	0	1
9	123456883	220	15	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	86	43	0	0	0	2	[]	0	2
10	123456883	216	13	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	86	43	0	0	0	2	[]	0	2
11	123456883	203	20	13	9	0	0	0	0	0	0	1	0	0	0	1	0	0	22	1	0	1	1	86	43	0	0	0	2	[]	0	3
12	123456883	200	19	14	12	0	0	0	0	0	0	1	0	0	0	1	0	0	23	1	0	1	1	86	43	0	0	0	2	[]	0	5
13	123456883	200	16	17	12	0	0	0	0	0	0	1	0	0	0	0	1	0	26	1	0	1	1	86	43	0	0	0	2	[]	0	5
14	123456883	200	11	20	13	0	0	0	0	0	0	1	0	0	0	1	1	0	27	2	0	1	2	86	43	0	0	0	2	[]	0	5
15	123456883	188	21	16	17	0	0	0	0	0	0	1	0	0	0	3	1	0	30	4	0	1	4	86	43	0	0	0	3	[]	0	5
16	123456883	180	18	24	20	0	0	0	0	0	0	1	0	0	0	3	1	0	33	4	0	1	4	86	43	0	0	0	3	[]	0	5
17	123456883	172	17	25	27	0	0	0	0	0	0	1	0	0	0	4	1	0	36	5	0	1	5	86	43	0	0	0	3	[]	0	5
18	123456883	153	28	27	32	0	0	0	0	0	0	1	0	0	0	5	1	0	38	6	0	1	6	86	43	0	0	0	3	[]	0	5
19	123456883	139	29	35	37	0	0	0	0	0	0	1	0	0	0	5	1	0	39	6	0	1	6	86	43	0	0	0	3	[]	0	8
20	123456883	139	21	39	41	0	0	0	0	0	0	1	0	0	0	3	3	0	41	6	0	1	6	86	43	0	0	0	3	[]	0	8
21	123456883	139	18	37	48	0	0	0	0	0	0	0	0	0	0	3	2	0	41	6	0	1	6	86	43	0	0	0	3	[]	0	8
22	123456883	120	31	38	53	0	0	0	0	0	0	0	0	0	0	3	2	0	44	6	0	1	6	86	43	0	0	0	3	[]	0	9
23	123456883	105	35	45	55	0	0	0	0	0	0	0	0	0	0	5	2	0	45	8	0	1	8	86	43	0	0	0	3	[]	0	9
24	123456883	98	26	57	58	0	0	0	0	0	0	1	0	0	0	4	3	0	48	9	0	2	9	86	43	0	0	0	3	[]	0	9
25	123456883	83	32	60	64	0	0	0	0	0	0	1	0	0	0	5	2	0	50	11	0	2	11	86	43	0	0	0	3	[]	0	9
26	123456883	76	28	58	73	0	0	0	0	0	0	1	1	0	0	7	3	0	52	14	0	3	14	86	43	0	0	0	3	[]	0	8
27	123456883	76	21	54	82	0	0	0	0	0	0	3	1	0	0	8	2	0	55	15	0	5	15	86	43	0	0	0	3	[]	0	8
28	123456883	76	17	49	91	0	0	0	0	0	0	4	1	0	0	7	2	0	56	15	0	6	15	86	43	0	0	0	3	[]	0	8
29	123456883	70	15	46	101	0	0	0	0	0	0	4	1	0	0	8	2	0	57	16	0	6	16	86	43	0	0	0	3	[]	0	8
30	123456883	53	23	49	105	0	0	0	0	0	0	5	1	0	0	5	6	0	58	17	0	7	17	86	43	0	0	0	4	[]	0	11
31	123456883	35	34	47	113	0	0	0	0	0	0	5	1	0	0	5	7	0	58	18	0	7	18	86	43	0	0	0	4	[]	0	11
32	123456883	28	32	45	122	0	0	0	0	0	0	3	3	0	0	6	8	0	59	20	0	7	20	86	43	0	0	0	4	[]	0	11
33	123456883	21	28	45	132	0	0	0	0	0	0	3	3	0	0	8	7	0	60	23	0	7	23	86	43	0	0	0	5	[]	0	10
34	123456883	21	23	44	139	0	0	0	0	0	0	3	2	0	0	7	8	0	61	24	0	7	24	86	43	0	0	0	5	[]	0	10
35	123456883	21	19	40	149	0	0	0	0	0	0	3	2	0	0	7	6	0	61	24	0	7	24	86	43	0	0	0	5	[]	0	10
36	123456883	14	21	40	155	0	0	0	0	0	0	2	2	0	0	8	5	0	63	27	0	7	27	86	43	0	0	0	5	[]	0	9
37	123456883	9	20	39	165	0	0	0	0	0	0	1	1	0	0	5	7	0	63	27	0	7	27	86	43	0	0	0	5	[]	0	8
38	123456883	7	16	39	172	0	0	0	0	0	0	0	1	0	0	5	7	0	63	27	0	7	27	86	43	0	0	0	5	[]	0	8
39	123456883	6	10	42	177	0	0	0	0	0	0	0	1	0	0	5	6	0	65	27	0	7	27	86	43	0	0	0	5	[]	0	8
40	123456883	5	8	39	185	0	0	0	0	0	0	0	0	0	0	5	5	0	68	27	0	7	27	86	43	0	0	0	5	[]	0	8
41	123456883	5	6	35	189	0	0	0	0	0	0	0	0	0	0	8	4	0	68	30	0	7	30	86	43	0	0	0	5	[]	0	8
42	123456883	5	3	30	196	0	0	0	0	0	0	0	0	0	0	9	4	0	72	33	0	7	33	86	43	0	0	0	5	[]	0	8
43	123456883	5	0	26	206	0	0	0	0	0	0	0	0	0	0	7	3	0	73	33	0	7	33	86	43	0	0	0	5	[]	0	7
44	123456883	5	0	23	210	0	0	0	0	0	0	0	0	0	0	6	3	0	74	33	0	7	33	86	43	0	0	0	5	[]	0	6
45	123456883	5	0	20	213	0	0	0	0	0	0	0	0	0	0	6	3	0	80	33	0	7	33	86	43	0	0	0	5	[]	0	6
46	123456883	5	0	19	217	0	0	0	0	0	0	0	0	0	0	4	2	0	83	33	0	7	33	86	43	0	0	0	5	[]	0	6
47	123456883	5	0	15	220	0	0	0	0	0	0	0	0	0	0	5	2	0	86	34	0	7	34	86	43	0	0	0	5	[]	0	6
48	123456883	5	0	14	221	0	0	0	0	0	0	0	0	0	0	5	2	0	87	34	0	7	34	86	43	0	0	0	5	[]	0	6
49	123456883	5	0	13	222	0	0	0	0	0	0	0	0	0	0	4	3	0	88	34	0	7	34	86	43	0	0	0	5	[]	0	6
50	123456883	5	0	10	225	0	0	0	0	0	0	0	0	0	0	4	3	0	90	34	0	7	34	86	43	0	0	0	5	[]	0	6
51	123456883	5	0	9	227	0	0	0	0	0	0	0	0	0	0	3	3	0	92	36	0	7	36	86	43	0	0	0	5	[]	0	4
52	123456883	5	0	5	234	0	0	0	0	0	0	0	0	0	0	2	1	0	93	36	0	7	36	86	43	0	0	0	5	[]	0	2
53	123456883	5	0	4	235	0	0	0	0	0	0	0	0	0	0	1	2	0	94	36	0	7	36	86	43	0	0	0	5	[]	0	2
54	123456883	5	0	4	235	0	0	0	0	0	0	0	0	0	0	1	2	0	94	36	0	7	36	86	43	0	0	0	5	[]	0	2
55	123456883	5	0	3	236	0	0	0	0	0	0	0	0	0	0	1	2	0	95	36	0	7	36	86	43	0	0	0	5	[]	0	1
56	123456883	5	0	2	236	0	0	0	0	0	0	0	0	0	0	2	2	0	96	37	0	7	37	86	43	0	0	0	5	[]	0	1
57	123456883	5	0	2	236	0	0	0	0	0	0	0	0	0	0	2	2	0	96	38	0	7	38	86	43	0	0	0	5	[]	0	1
58	123456883	5	0	2	236	0	0	0	0	0	0	0	0	0	0	1	3	0	98	38	0	7	38	86	43	0	0	0	5	[]	0	0
59	123456883	5	0	2	236	0	0	0	0	0	0	0	0	0	0	1	3	0	98	38	0	7	38	86	43	0	0	0	5	[]	0	0
60	123456883	5	0	2	236	0	0	0	0	0	0	0	0	0	0	1	3	0	99	38	0	7	38	86	43	0	0	0	5	[]	0	0
