day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456830	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	40	0	0	0	0	[]	0	0
1	123456830	249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	40	0	0	0	1	[]	0	0
2	123456830	249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	40	0	0	0	1	[]	0	0
3	123456830	249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	86	40	0	0	0	1	[]	0	0
4	123456830	248	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	86	40	0	0	0	2	[]	0	1
5	123456830	248	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	86	40	0	0	0	2	[]	0	1
6	123456830	247	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	40	0	0	0	3	[]	0	1
7	123456830	246	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	1	0	0	1	86	40	0	0	0	4	[]	0	2
8	123456830	241	5	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	1	0	0	1	86	40	0	0	0	4	[]	0	2
9	123456830	233	10	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	15	1	0	0	1	86	40	0	0	0	6	[]	0	3
10	123456830	223	19	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	15	1	0	0	1	86	40	0	0	0	6	[]	0	3
11	123456830	210	23	12	3	0	0	0	0	0	0	1	0	0	0	1	0	0	17	1	0	1	1	86	40	0	0	0	6	[]	0	4
12	123456830	197	30	16	4	0	0	0	0	0	0	1	0	0	0	2	0	0	20	2	0	1	2	86	40	0	0	0	6	[]	0	4
13	123456830	197	20	23	7	0	0	0	0	0	0	1	0	0	0	2	0	0	20	2	0	1	2	86	40	0	0	0	6	[]	0	4
14	123456830	197	18	18	11	0	0	0	0	0	0	2	0	0	0	4	0	0	21	4	0	2	4	86	40	0	0	0	6	[]	0	4
15	123456830	182	27	22	12	0	0	0	0	0	0	2	0	0	0	5	0	0	23	5	0	2	5	86	40	0	0	0	7	[]	0	4
