day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456872	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	41	0	0	0	0	[]	0	0
1	123456872	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	41	0	0	0	0	[]	0	0
2	123456872	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	86	41	0	0	0	0	[]	0	0
3	123456872	248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	41	0	0	0	1	[]	0	0
4	123456872	247	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	41	0	0	0	2	[]	0	0
5	123456872	247	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	86	41	0	0	0	2	[]	0	0
6	123456872	246	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	41	0	0	0	3	[]	0	0
7	123456872	246	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	86	41	0	0	0	3	[]	0	1
8	123456872	242	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	1	0	86	41	0	0	0	3	[]	0	1
9	123456872	237	8	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	1	0	86	41	0	0	0	3	[]	0	1
10	123456872	231	11	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0	1	0	86	41	0	0	0	3	[]	0	1
11	123456872	225	10	10	2	0	0	0	0	0	0	0	1	0	0	1	0	0	24	1	0	1	1	86	41	0	0	0	3	[]	0	2
12	123456872	223	9	6	9	0	0	0	0	0	0	0	1	0	0	1	0	0	25	1	0	1	1	86	41	0	0	0	3	[]	0	1
13	123456872	223	5	7	12	0	0	0	0	0	0	0	1	0	0	1	0	0	28	1	0	1	1	86	41	0	0	0	3	[]	0	2
14	123456872	223	5	6	12	0	0	0	0	0	0	0	1	0	0	1	1	0	30	2	0	1	2	86	41	0	0	0	3	[]	0	2
15	123456872	216	9	7	13	0	0	0	0	0	0	0	1	0	0	2	1	0	32	3	0	1	3	86	41	0	0	0	3	[]	0	2
16	123456872	206	10	15	14	0	0	0	0	0	0	0	1	0	0	2	1	0	34	3	0	1	3	86	41	0	0	0	3	[]	0	3
17	123456872	199	11	19	15	0	0	0	0	0	0	0	1	0	0	3	1	0	37	4	0	1	4	86	41	0	0	0	3	[]	0	3
18	123456872	197	12	18	18	0	0	0	0	0	0	0	0	0	0	1	3	0	39	4	0	1	4	86	41	0	0	0	3	[]	0	3
19	123456872	194	8	22	21	0	0	0	0	0	0	0	0	0	0	1	3	0	39	4	0	1	4	86	41	0	0	0	3	[]	0	6
20	123456872	194	5	20	24	0	0	0	0	0	0	1	0	0	0	2	3	0	41	5	0	2	5	86	41	0	0	0	3	[]	0	6
21	123456872	194	3	16	29	0	0	0	0	0	0	1	0	0	0	3	3	0	45	7	0	2	7	86	41	0	0	0	3	[]	0	5
22	123456872	185	9	17	31	0	0	0	0	0	0	1	0	0	0	3	3	0	46	7	0	2	7	86	41	0	0	0	3	[]	0	5
23	123456872	173	16	18	34	0	0	0	0	0	0	2	0	0	0	3	3	0	47	7	0	3	7	86	41	0	0	0	3	[]	0	7
24	123456872	156	26	22	38	0	0	0	0	0	0	1	1	0	0	3	2	0	49	7	0	3	7	86	41	0	0	0	3	[]	0	7
25	123456872	132	34	34	42	0	0	0	0	0	0	1	1	0	0	4	1	0	51	8	0	3	8	86	41	0	0	0	3	[]	0	9
26	123456872	102	49	42	46	0	0	0	0	0	0	3	1	0	0	5	1	0	56	9	0	5	9	86	41	0	0	0	3	[]	0	9
27	123456872	102	39	44	54	0	0	0	0	0	0	3	2	0	0	4	1	0	58	9	0	6	9	86	41	0	0	0	3	[]	0	9
28	123456872	102	30	41	64	0	0	0	0	0	0	4	2	0	0	4	2	0	60	10	0	7	10	86	41	0	0	0	3	[]	0	9
29	123456872	87	33	43	70	0	0	0	0	0	0	5	2	0	0	7	2	0	62	13	0	8	13	86	41	0	0	0	3	[]	0	9
30	123456872	76	31	44	81	0	0	0	0	0	0	5	1	0	0	9	2	0	64	16	0	8	16	86	41	0	0	0	3	[]	0	9
31	123456872	69	23	45	96	0	0	0	0	0	0	5	1	0	0	8	2	0	64	17	0	8	17	86	41	0	0	0	3	[]	0	9
32	123456872	65	19	46	102	0	0	0	0	0	0	6	1	0	0	6	4	0	67	17	0	9	17	86	41	0	0	0	3	[]	0	8
33	123456872	59	19	44	109	0	0	0	0	0	0	7	0	0	0	6	5	0	69	18	0	10	18	86	41	0	0	0	3	[]	0	9
34	123456872	59	16	40	116	0	0	0	0	0	0	7	0	0	0	6	5	0	70	18	0	10	18	86	41	0	0	0	3	[]	0	9
35	123456872	59	10	39	124	0	0	0	0	0	0	6	1	0	0	5	5	0	71	18	0	10	18	86	41	0	0	0	3	[]	0	9
36	123456872	53	11	38	133	0	0	0	0	0	0	4	1	0	0	5	4	0	72	18	0	10	18	86	41	0	0	0	3	[]	0	9
37	123456872	46	14	36	138	0	0	0	0	0	0	3	1	0	0	7	4	0	73	20	0	10	20	86	41	0	0	0	3	[]	0	10
38	123456872	39	16	34	144	0	0	0	0	0	0	2	1	0	0	9	4	0	73	23	0	10	23	86	41	0	0	0	3	[]	0	10
39	123456872	30	17	35	151	0	0	0	0	0	0	1	1	0	0	11	3	0	81	27	0	10	27	86	41	0	0	0	3	[]	0	10
40	123456872	17	23	39	157	0	0	0	0	0	0	1	1	0	0	8	3	0	83	27	0	10	27	86	41	0	0	0	3	[]	0	10
41	123456872	17	17	40	162	0	0	0	0	0	0	1	1	0	0	7	4	0	83	28	0	10	28	86	41	0	0	0	3	[]	0	10
42	123456872	17	13	35	170	0	0	0	0	0	0	1	0	0	0	9	4	0	85	30	0	10	30	86	41	0	0	0	3	[]	0	9
43	123456872	11	14	37	174	0	0	0	0	0	0	0	0	0	0	8	5	0	87	31	0	10	31	86	41	0	0	0	3	[]	0	9
44	123456872	5	17	31	182	0	0	0	0	0	0	0	0	0	0	8	6	0	88	32	0	10	32	86	41	0	0	0	3	[]	0	9
45	123456872	4	16	24	188	0	0	0	0	0	0	0	0	0	0	11	6	0	88	35	0	10	35	86	41	0	0	0	3	[]	0	9
46	123456872	4	9	26	193	0	0	0	0	0	0	0	0	0	0	9	8	0	90	35	0	10	35	86	41	0	0	0	3	[]	0	9
47	123456872	3	8	23	199	0	0	0	0	0	0	0	0	0	0	8	8	0	91	36	0	10	36	86	41	0	0	0	3	[]	0	8
48	123456872	3	2	26	205	0	0	0	0	0	0	0	0	0	0	6	7	0	95	36	0	10	36	86	41	0	0	0	3	[]	0	7
49	123456872	3	2	24	211	0	0	0	0	0	0	0	0	0	0	6	3	0	99	36	0	10	36	86	41	0	0	0	3	[]	0	7
50	123456872	3	2	23	211	0	0	0	0	0	0	1	0	0	0	6	3	0	101	36	0	11	36	86	41	0	0	0	3	[]	0	7
51	123456872	3	2	20	214	0	0	0	0	0	0	1	0	0	0	6	3	0	103	37	0	11	37	86	41	0	0	0	3	[]	0	7
52	123456872	3	1	16	220	0	0	0	0	0	0	2	0	0	0	6	1	0	106	37	0	12	37	86	41	0	0	0	3	[]	0	7
53	123456872	3	1	16	221	0	0	0	0	0	0	2	0	0	0	6	0	0	108	37	0	12	37	86	41	0	0	0	3	[]	0	7
54	123456872	2	0	18	222	0	0	0	0	0	0	2	0	0	0	4	1	0	111	37	0	12	37	86	41	0	0	0	3	[]	0	7
55	123456872	2	0	16	226	0	0	0	0	0	0	3	0	0	0	1	1	0	112	37	0	13	37	86	41	0	0	0	3	[]	0	6
56	123456872	2	0	11	229	0	0	0	0	0	0	3	1	0	0	2	1	0	118	38	0	14	38	86	41	0	0	0	3	[]	0	6
57	123456872	2	0	12	229	0	0	0	0	0	0	3	1	0	0	1	1	0	120	38	0	14	38	86	41	0	0	0	3	[]	0	6
58	123456872	2	0	9	232	0	0	0	0	0	0	2	2	0	0	1	1	0	125	38	0	14	38	86	41	0	0	0	3	[]	0	5
59	123456872	2	0	6	235	0	0	0	0	0	0	2	2	0	0	1	1	0	128	38	0	14	38	86	41	0	0	0	3	[]	0	3
60	123456872	2	0	6	236	0	0	0	0	0	0	2	1	0	0	1	1	0	129	38	0	14	38	86	41	0	0	0	3	[]	0	3
