day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456853	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	39	0	0	0	0	[]	0	0
1	123456853	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	39	0	0	0	0	[]	0	0
2	123456853	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	86	39	0	0	0	1	[]	0	0
3	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	86	39	0	0	0	3	[]	0	0
4	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	39	0	0	0	3	[]	0	0
5	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	39	0	0	0	3	[]	0	0
6	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	86	39	0	0	0	3	[]	0	0
7	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	86	39	0	0	0	3	[]	0	0
8	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	86	39	0	0	0	3	[]	0	0
9	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	86	39	0	0	0	3	[]	0	0
10	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	86	39	0	0	0	3	[]	0	0
11	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	86	39	0	0	0	3	[]	0	0
12	123456853	248	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	86	39	0	0	0	3	[]	0	0
13	123456853	247	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	86	39	0	0	0	4	[]	0	1
14	123456853	247	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	86	39	0	0	0	4	[]	0	2
15	123456853	238	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	86	39	0	0	0	4	[]	0	2
16	123456853	235	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	86	39	0	0	0	4	[]	0	2
17	123456853	231	9	7	3	0	0	0	0	0	0	0	0	0	0	1	0	0	39	1	0	0	1	86	39	0	0	0	6	[]	0	3
18	123456853	214	23	10	3	0	0	0	0	0	0	0	0	0	0	1	0	0	41	1	0	0	1	86	39	0	0	0	6	[]	0	3
19	123456853	189	38	18	4	0	0	0	0	0	0	1	0	0	0	1	0	0	42	1	0	1	1	86	39	0	0	0	6	[]	0	4
20	123456853	188	30	22	9	0	0	0	0	0	0	1	0	0	0	1	0	0	44	1	0	1	1	86	39	0	0	0	7	[]	0	5
21	123456853	188	20	27	12	0	0	0	0	0	0	2	0	0	0	2	0	0	47	2	0	2	2	86	39	0	0	0	7	[]	0	5
22	123456853	159	40	35	12	0	0	0	0	0	0	2	0	0	0	3	0	0	48	3	0	2	3	86	39	0	0	0	7	[]	0	7
23	123456853	140	39	50	16	0	0	0	0	0	0	2	0	0	0	4	0	0	48	4	0	2	4	86	39	0	0	0	7	[]	0	9
24	123456853	115	47	56	25	0	0	0	0	0	0	3	0	0	0	5	0	0	50	5	0	3	5	86	39	0	0	0	7	[]	0	9
25	123456853	86	59	63	33	0	0	0	0	0	0	3	0	0	0	5	2	0	51	7	0	3	7	86	39	0	0	0	8	[]	0	10
26	123456853	66	49	82	43	0	0	0	0	0	0	2	1	0	0	6	2	0	52	8	0	3	8	86	39	0	0	0	8	[]	0	11
27	123456853	66	35	80	55	0	0	0	0	0	0	4	1	0	0	8	2	0	54	11	0	5	11	86	39	0	0	0	8	[]	0	11
28	123456853	66	24	77	66	0	0	0	0	0	0	3	2	0	0	11	2	0	54	14	0	5	14	86	39	0	0	0	8	[]	0	10
29	123456853	47	33	75	77	0	0	0	0	0	0	2	2	0	0	11	4	0	54	16	0	5	16	86	39	0	0	0	8	[]	0	11
30	123456853	35	34	73	89	0	0	0	0	0	0	2	2	0	0	12	4	0	56	17	0	5	17	86	39	0	0	0	8	[]	0	11
31	123456853	27	30	70	105	0	0	0	0	0	0	2	1	0	0	12	4	0	58	18	0	5	18	86	39	0	0	0	8	[]	0	12
32	123456853	15	25	70	122	0	0	0	0	0	0	2	1	0	0	13	3	0	58	19	0	5	19	86	39	0	0	0	8	[]	0	12
33	123456853	8	23	69	130	0	0	0	0	0	0	3	2	0	0	11	5	0	62	20	0	7	20	86	39	0	0	0	8	[]	0	12
34	123456853	7	14	63	145	0	0	0	0	0	0	4	1	0	0	12	5	0	65	22	0	8	22	86	39	0	0	0	9	[]	0	11
35	123456853	7	7	58	155	0	0	0	0	0	0	6	1	0	0	12	5	0	67	24	0	10	24	86	39	0	0	0	9	[]	0	11
36	123456853	2	10	53	160	0	0	0	0	0	0	6	1	0	0	10	9	0	67	27	0	10	27	86	39	0	0	0	9	[]	0	11
37	123456853	2	6	52	168	0	0	0	0	0	0	2	3	0	0	10	8	0	70	29	0	10	29	86	39	0	0	0	9	[]	0	11
38	123456853	2	2	45	180	0	0	0	0	0	0	3	3	0	0	9	7	0	73	30	0	11	30	86	39	0	0	0	9	[]	0	11
39	123456853	2	2	37	188	0	0	0	0	0	0	3	3	0	0	10	6	0	73	32	0	11	32	86	39	0	0	0	9	[]	0	11
40	123456853	2	1	30	196	0	0	0	0	0	0	3	3	0	0	10	6	0	76	33	0	11	33	86	39	0	0	0	9	[]	0	11
41	123456853	2	0	25	203	0	0	0	0	0	0	1	5	0	0	10	5	0	78	33	0	11	33	86	39	0	0	0	9	[]	0	9
42	123456853	2	0	24	204	0	0	0	0	0	0	1	5	0	0	10	5	0	80	34	0	11	34	86	39	0	0	0	9	[]	0	9
43	123456853	2	0	16	213	0	0	0	0	0	0	2	3	0	0	11	4	0	85	35	0	12	35	86	39	0	0	0	9	[]	0	9
44	123456853	2	0	13	219	0	0	0	0	0	0	2	2	0	0	9	4	0	85	35	0	12	35	86	39	0	0	0	9	[]	0	8
45	123456853	2	0	11	224	0	0	0	0	0	0	1	1	0	0	7	5	0	87	36	0	12	36	86	39	0	0	0	9	[]	0	7
46	123456853	2	0	8	230	0	0	0	0	0	0	1	1	0	0	3	6	0	89	36	0	12	36	86	39	0	0	0	9	[]	0	4
47	123456853	2	0	5	235	0	0	0	0	0	0	1	1	0	0	3	4	0	89	36	0	12	36	86	39	0	0	0	9	[]	0	3
48	123456853	2	0	3	238	0	0	0	0	0	0	1	0	0	0	4	3	0	90	37	0	12	37	86	39	0	0	0	9	[]	0	3
49	123456853	2	0	3	240	0	0	0	0	0	0	1	0	0	0	3	2	0	93	37	0	12	37	86	39	0	0	0	9	[]	0	3
50	123456853	2	0	2	242	0	0	0	0	0	0	1	0	0	0	3	1	0	96	37	0	12	37	86	39	0	0	0	9	[]	0	2
51	123456853	2	0	1	243	0	0	0	0	0	0	1	0	0	0	3	1	0	98	37	0	12	37	86	39	0	0	0	9	[]	0	2
52	123456853	2	0	2	243	0	0	0	0	0	0	1	0	0	0	2	1	0	101	37	0	12	37	86	39	0	0	0	9	[]	0	2
53	123456853	2	0	2	245	0	0	0	0	0	0	0	0	0	0	1	1	0	103	37	0	12	37	86	39	0	0	0	9	[]	0	2
54	123456853	2	0	0	247	0	0	0	0	0	0	0	0	0	0	0	2	0	104	37	0	12	37	86	39	0	0	0	9	[]	0	0
55	123456853	2	0	0	248	0	0	0	0	0	0	0	0	0	0	0	1	0	105	37	0	12	37	86	39	0	0	0	9	[]	0	0
56	123456853	2	0	0	248	0	0	0	0	0	0	0	0	0	0	0	1	0	109	37	0	12	37	86	39	0	0	0	9	[]	0	0
57	123456853	2	0	0	248	0	0	0	0	0	0	0	0	0	0	0	1	0	110	37	0	12	37	86	39	0	0	0	9	[]	0	0
58	123456853	2	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	110	37	0	12	37	86	39	0	0	0	9	[]	0	0
59	123456853	2	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	113	37	0	12	37	86	39	0	0	0	9	[]	0	0
60	123456853	2	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	115	37	0	12	37	86	39	0	0	0	9	[]	0	0
