day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	47	0	0	0	0	[]	0	0
1	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	86	47	0	0	0	0	[]	0	0
2	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	86	47	0	0	0	0	[]	0	0
3	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	86	47	0	0	0	0	[]	0	0
4	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	86	47	0	0	0	0	[]	0	0
5	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	86	47	0	0	0	0	[]	0	0
6	123456803	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	86	47	0	0	0	0	[]	0	0
7	123456803	242	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	47	0	0	0	1	[]	0	0
8	123456803	241	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	86	47	0	0	0	1	[]	0	0
9	123456803	239	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	86	47	0	0	0	3	[]	0	0
10	123456803	238	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	86	47	0	0	0	4	[]	0	1
11	123456803	234	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	86	47	0	0	0	4	[]	0	2
12	123456803	227	11	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	86	47	0	0	0	4	[]	0	2
13	123456803	227	7	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	33	1	0	0	1	86	47	0	0	0	4	[]	0	3
14	123456803	226	6	7	3	0	0	0	0	0	0	0	0	0	0	1	0	0	35	1	0	0	1	86	47	0	0	0	5	[]	0	3
15	123456803	211	15	11	5	0	0	0	0	0	0	0	0	0	0	1	0	0	36	1	0	0	1	86	47	0	0	0	5	[]	0	3
16	123456803	197	22	17	6	0	0	0	0	0	0	0	0	0	0	0	1	0	39	1	0	0	1	86	47	0	0	0	5	[]	0	3
17	123456803	185	25	22	6	0	0	0	0	0	0	0	0	0	0	4	1	0	40	5	0	0	5	86	47	0	0	0	5	[]	0	4
18	123456803	171	28	29	9	0	0	0	0	0	0	0	0	0	0	5	1	0	43	6	0	0	6	86	47	0	0	0	5	[]	0	5
19	123456803	154	32	39	12	0	0	0	0	0	0	0	0	0	0	5	1	0	44	6	0	0	6	86	47	0	0	0	5	[]	0	5
20	123456803	154	27	39	16	0	0	0	0	0	0	0	0	0	0	6	1	0	45	7	0	0	7	86	47	0	0	0	5	[]	0	5
21	123456803	154	16	37	25	0	0	0	0	0	0	2	0	0	0	8	1	0	47	9	0	2	9	86	47	0	0	0	5	[]	0	6
22	123456803	146	20	34	30	0	0	0	0	0	0	2	0	0	0	9	2	0	49	11	0	2	11	86	47	0	0	0	5	[]	0	6
23	123456803	137	21	35	37	0	0	0	0	0	0	3	0	0	0	9	1	0	53	11	0	3	11	86	47	0	0	0	5	[]	0	7
24	123456803	114	37	36	40	0	0	0	0	0	0	3	0	0	0	12	1	0	57	14	0	3	14	86	47	0	0	0	5	[]	0	9
25	123456803	93	46	43	44	0	0	0	0	0	0	3	0	0	0	13	1	0	58	15	0	3	15	86	47	0	0	0	5	[]	0	10
26	123456803	80	44	45	53	0	0	0	0	0	0	6	0	0	0	14	1	0	63	16	0	6	16	86	47	0	0	0	5	[]	0	10
27	123456803	80	31	51	61	0	0	0	0	0	0	5	1	0	0	13	1	0	64	19	0	6	19	86	47	0	0	0	5	[]	0	11
28	123456803	80	24	47	73	0	0	0	0	0	0	4	2	0	0	9	4	0	65	19	0	6	19	86	47	0	0	0	5	[]	0	11
29	123456803	64	35	40	80	0	0	0	0	0	0	5	2	0	0	13	4	0	68	23	0	7	23	86	47	0	0	0	5	[]	0	11
30	123456803	50	39	42	89	0	0	0	0	0	0	4	3	0	0	11	5	0	71	23	0	7	23	86	47	0	0	0	5	[]	0	10
31	123456803	39	32	52	98	0	0	0	0	0	0	3	2	0	0	14	3	0	72	26	0	7	26	86	47	0	0	0	5	[]	0	12
32	123456803	22	36	48	115	0	0	0	0	0	0	2	3	0	0	13	4	0	74	28	0	7	28	86	47	0	0	0	5	[]	0	12
33	123456803	16	32	48	123	0	0	0	0	0	0	2	2	0	0	15	5	0	74	31	0	7	31	86	47	0	0	0	5	[]	0	12
34	123456803	16	23	50	132	0	0	0	0	0	0	2	2	0	0	14	4	0	77	32	0	7	32	86	47	0	0	0	5	[]	0	12
35	123456803	16	17	46	141	0	0	0	0	0	0	1	3	0	0	12	7	0	77	34	0	7	34	86	47	0	0	0	5	[]	0	11
36	123456803	12	16	42	153	0	0	0	0	0	0	1	1	0	0	11	7	0	78	34	0	8	34	86	47	0	0	0	5	[]	0	11
37	123456803	7	17	42	159	0	0	0	0	0	0	1	2	0	0	6	9	0	81	34	0	9	34	86	47	0	0	0	5	[]	0	10
38	123456803	6	14	37	168	0	0	0	0	0	0	1	2	0	0	5	10	0	82	34	0	9	34	86	47	0	0	0	5	[]	0	10
39	123456803	5	10	35	179	0	0	0	0	0	0	1	1	0	0	5	7	0	82	35	0	9	35	86	47	0	0	0	5	[]	0	10
40	123456803	5	6	33	184	0	0	0	0	0	0	1	1	0	0	6	7	0	85	36	0	9	36	86	47	0	0	0	5	[]	0	9
41	123456803	5	3	31	190	0	0	0	0	0	0	2	1	0	0	5	6	0	89	37	0	10	37	86	47	0	0	0	5	[]	0	9
42	123456803	5	3	28	194	0	0	0	0	0	0	2	1	0	0	4	6	0	90	38	0	10	38	86	47	0	0	0	5	[]	0	9
43	123456803	5	1	24	202	0	0	0	0	0	0	2	1	0	0	4	4	0	93	39	0	10	39	86	47	0	0	0	5	[]	0	9
44	123456803	3	3	20	207	0	0	0	0	0	0	2	1	0	0	3	4	0	93	39	0	10	39	86	47	0	0	0	5	[]	0	9
45	123456803	2	3	18	211	0	0	0	0	0	0	2	1	0	0	3	3	0	95	40	0	10	40	86	47	0	0	0	5	[]	0	8
46	123456803	2	3	13	217	0	0	0	0	0	0	2	0	0	0	3	3	0	98	40	0	10	40	86	47	0	0	0	5	[]	0	7
47	123456803	2	2	10	220	0	0	0	0	0	0	1	0	0	0	5	3	0	98	42	0	10	42	86	47	0	0	0	5	[]	0	6
48	123456803	2	1	7	223	0	0	0	0	0	0	1	0	0	0	6	3	0	100	43	0	10	43	86	47	0	0	0	5	[]	0	5
49	123456803	2	1	7	224	0	0	0	0	0	0	0	1	0	0	4	4	0	100	43	0	10	43	86	47	0	0	0	5	[]	0	5
50	123456803	2	1	5	227	0	0	0	0	0	0	0	1	0	0	4	3	0	101	43	0	10	43	86	47	0	0	0	5	[]	0	3
51	123456803	2	1	3	230	0	0	0	0	0	0	0	0	0	0	3	4	0	104	44	0	10	44	86	47	0	0	0	5	[]	0	3
52	123456803	2	1	2	232	0	0	0	0	0	0	0	0	0	0	0	6	0	107	44	0	10	44	86	47	0	0	0	5	[]	0	2
53	123456803	2	1	2	233	0	0	0	0	0	0	0	0	0	0	0	5	0	108	44	0	10	44	86	47	0	0	0	5	[]	0	2
54	123456803	2	1	2	233	0	0	0	0	0	0	0	0	0	0	0	5	0	109	44	0	10	44	86	47	0	0	0	5	[]	0	2
55	123456803	2	0	3	234	0	0	0	0	0	0	0	0	0	0	0	4	0	111	44	0	10	44	86	47	0	0	0	5	[]	0	3
56	123456803	2	0	3	234	0	0	0	0	0	0	0	0	0	0	0	4	0	117	44	0	10	44	86	47	0	0	0	5	[]	0	3
57	123456803	2	0	3	236	0	0	0	0	0	0	0	0	0	0	0	2	0	119	44	0	10	44	86	47	0	0	0	5	[]	0	3
58	123456803	2	0	2	238	0	0	0	0	0	0	0	0	0	0	0	1	0	120	44	0	10	44	86	47	0	0	0	5	[]	0	2
59	123456803	2	0	0	239	0	0	0	0	0	0	0	0	0	0	1	1	0	124	45	0	10	45	86	47	0	0	0	5	[]	0	1
60	123456803	2	0	0	239	0	0	0	0	0	0	0	0	0	0	1	1	0	131	45	0	10	45	86	47	0	0	0	5	[]	0	1
